"ID" "SIZE" "HH" "TYPE" "TIME" "S_NUM" "I_NUM"
"577" 577 4 130 NA NA NA 0
"578" 578 4 130 NA NA NA 0
"579" 579 4 130 NA NA NA 0
"580" 580 4 130 NA NA NA 0
"581" 581 5 131 NA NA NA 0
"582" 582 5 131 NA NA NA 0
"583" 583 5 131 NA NA NA 0
"584" 584 5 131 NA NA NA 0
"585" 585 5 131 NA NA NA 0
"586" 586 6 132 NA NA NA 0
"587" 587 6 132 NA NA NA 0
"588" 588 6 132 NA NA NA 0
"589" 589 6 132 NA NA NA 0
"590" 590 6 132 NA NA NA 0
"591" 591 6 132 NA NA NA 0
"592" 592 4 133 NA NA NA 0
"593" 593 4 133 NA NA NA 0
"594" 594 4 133 NA NA NA 0
"595" 595 4 133 NA NA NA 0
"596" 596 3 134 NA NA NA 0
"597" 597 3 134 NA NA NA 0
"598" 598 3 134 NA NA NA 0
"599" 599 6 135 NA NA NA 0
"600" 600 6 135 NA NA NA 0
"601" 601 6 135 NA NA NA 0
"602" 602 6 135 NA NA NA 0
"603" 603 6 135 NA NA NA 0
"604" 604 6 135 NA NA NA 0
"605" 605 6 136 "H" 285 2 1
"606" 606 6 136 "H" 298 1 0
"607" 607 6 136 "H" 305 1 1
"608" 608 6 136 "H" 292 1 0
"609" 609 6 136 "H" 330 0 0
"610" 610 6 136 "C" 269 5 3
"611" 611 6 137 NA NA NA 0
"612" 612 6 137 NA NA NA 0
"613" 613 6 137 "C" NA NA 0
"614" 614 6 137 NA NA NA 0
"615" 615 6 137 NA NA NA 0
"616" 616 6 137 NA NA NA 0
"617" 617 5 138 NA NA NA 0
"618" 618 5 138 NA NA NA 0
"619" 619 5 138 NA NA NA 0
"620" 620 5 138 NA NA NA 0
"621" 621 5 138 NA NA NA 0
"622" 622 6 139 NA NA NA 0
"623" 623 6 139 NA NA NA 0
"624" 624 6 139 NA NA NA 0
"625" 625 6 139 NA NA NA 0
"626" 626 6 139 NA NA NA 0
"627" 627 6 139 NA NA NA 0
"628" 628 3 140 NA NA NA 0
"629" 629 3 140 NA NA NA 0
"630" 630 3 140 NA NA NA 0
"631" 631 3 141 NA NA NA 0
"632" 632 3 141 NA NA NA 0
"633" 633 3 141 NA NA NA 0
"634" 634 6 142 NA NA NA 0
"635" 635 6 142 NA NA NA 0
"636" 636 6 142 NA NA NA 0
"637" 637 6 142 "C" NA NA 0
"638" 638 6 142 NA NA NA 0
"639" 639 6 142 NA NA NA 0
"640" 640 3 143 "C" NA NA 0
"641" 641 3 143 NA NA NA 0
"642" 642 3 143 NA NA NA 0
"643" 643 3 144 NA NA NA 0
"644" 644 3 144 NA NA NA 0
"645" 645 3 144 NA NA NA 0
"646" 646 3 145 NA NA NA 0
"647" 647 3 145 NA NA NA 0
"648" 648 3 145 NA NA NA 0
"649" 649 3 146 NA NA NA 0
"650" 650 3 146 NA NA NA 0
"651" 651 3 146 "C" NA NA 0
"652" 652 4 147 "H" NA NA 0
"653" 653 4 147 NA NA NA 0
"654" 654 4 147 NA NA NA 0
"655" 655 4 147 "C" 354 3 1
"656" 656 6 148 NA NA NA 0
"657" 657 6 148 NA NA NA 0
"658" 658 6 148 NA NA NA 0
"659" 659 6 148 NA NA NA 0
"660" 660 6 148 NA NA NA 0
"661" 661 6 148 NA NA NA 0
"662" 662 3 149 NA NA NA 0
"663" 663 3 149 NA NA NA 0
"664" 664 3 149 NA NA NA 0
"665" 665 4 150 NA NA NA 0
"666" 666 4 150 "C" NA NA 0
"667" 667 4 150 NA NA NA 0
"668" 668 4 150 NA NA NA 0
"669" 669 3 151 NA NA NA 0
"670" 670 3 151 NA NA NA 0
"671" 671 3 151 NA NA NA 0
"672" 672 5 152 NA NA NA 0
"673" 673 5 152 NA NA NA 0
"674" 674 5 152 NA NA NA 0
"675" 675 5 152 "C" 118 4 0
"676" 676 5 152 NA NA NA 0
"677" 677 6 153 NA NA NA 0
"678" 678 6 153 NA NA NA 0
"679" 679 6 153 NA NA NA 0
"680" 680 6 153 NA NA NA 0
"681" 681 6 153 NA NA NA 0
"682" 682 6 153 "C" NA NA 0
"683" 683 6 154 NA NA NA 0
"684" 684 6 154 NA NA NA 0
"685" 685 6 154 NA NA NA 0
"686" 686 6 154 NA NA NA 0
"687" 687 6 154 NA NA NA 0
"688" 688 6 154 NA NA NA 0
"689" 689 3 155 NA NA NA 0
"690" 690 3 155 "C" NA NA 0
"691" 691 3 155 NA NA NA 0
"692" 692 6 156 "C" NA NA 0
"693" 693 6 156 "H" NA NA 0
"694" 694 6 156 NA NA NA 0
"695" 695 6 156 "C" NA NA 0
"696" 696 6 156 NA NA NA 0
"697" 697 6 156 "C" 342 4 1
"698" 698 4 157 NA NA NA 0
"699" 699 4 157 NA NA NA 0
"700" 700 4 157 NA NA NA 0
"701" 701 4 157 NA NA NA 0
"702" 702 5 158 "C" 343 4 0
"703" 703 5 158 NA NA NA 0
"704" 704 5 158 NA NA NA 0
"705" 705 5 158 NA NA NA 0
"706" 706 5 158 NA NA NA 0
"707" 707 3 159 "C" NA NA 0
"708" 708 3 159 NA NA NA 0
"709" 709 3 159 "C" NA NA 0
"710" 710 6 160 NA NA NA 0
"711" 711 6 160 NA NA NA 0
"712" 712 6 160 NA NA NA 0
"713" 713 6 160 NA NA NA 0
